"","Timestamp","Have you published any empirical work","Have you ever been asked to provide a replication archive","Have you ever archived data in a public repository","Which public repository","Have you ever used Github, Gitlab, Bitbucket, etc.","Have you ever published your code","Have you ever chosen a license for your code","Have you ever attempted to obtain a replication archive and failed (Author refused, link was dead, etc.)","Have you ever attempted a replication with somebody else's code and/or data","Have you ever succeeded","Your academic status","Your field","worksheet"
"1","2/14/2019 3:19:03","Yes","Yes","Yes","(open)ICPSR, Zenodo","Yes","Yes","Yes","Yes","Yes","Yes","Faculty","Economics","UGA"
"2","2/14/2019 7:33:07","Yes","No","No",NA,"No","No","No","No","Yes","Yes","Faculty","Economics","UGA"
"3","2/14/2019 7:33:32","Yes","Yes","No",NA,"No","No","No","Yes","Yes","Partially","Faculty","Economics","UGA"
"4","2/14/2019 7:33:39","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Partially","Faculty","Economics","UGA"
"5","2/14/2019 7:33:44","Yes","No","No",NA,"Yes","No","No","Yes","Yes","Partially","Ph.D. (candidate or completed)","Economics","UGA"
"6","2/14/2019 7:33:54","Yes","Yes","No",NA,"No","Yes","No","No","Yes","No","Faculty","Economics","UGA"
"7","2/14/2019 7:34:36","Yes","Yes","No",NA,"No","Yes","No","Yes","No","No","Faculty","Economics","UGA"
"8","2/14/2019 7:34:36","No",NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Ph.D. (candidate or completed)","Economics","UGA"
"9","2/14/2019 7:34:52","Yes","No","No",NA,"No","Yes","No","Yes","Yes","Yes","Faculty","Economics","UGA"
"10","2/14/2019 7:35:02","Yes","No","No",NA,"Yes","Yes","No","Yes","Yes","No","Faculty","Economics","UGA"
"11","2/14/2019 7:35:03","Yes","Yes","No",NA,"Yes","No","No","No","Yes","Yes","Faculty","Economics","UGA"
"12","2/14/2019 7:35:39","No",NA,NA,NA,NA,NA,NA,"No","No","No","Ph.D. (candidate or completed)","Economics","UGA"
"13","2/14/2019 7:35:47","Yes","Yes","No",NA,"No","Yes","No","Yes","Yes","Yes","Faculty","Economics","UGA"
"14","2/14/2019 7:36:22","Yes","Yes","Yes","I don’t recall the name. It belonged to the journal.","Yes","Yes","No","Yes","Yes","Partially","Faculty","Economics","UGA"
